"ACCIDENT_NO","NODE_ID","COMPLEX_INT_NO"
"T20060000130","44,566","1,050"
"T20060000198","29,996","1,205"
"T20060000202","50,283","7,890"
"T20060000286","55,769","6,644"
"T20060000343","43,935","106,073"
"T20060000549","35,791","1,308"
"T20060000552","55,491","104,315"
"T20060000722","43,567","6,769"
"T20060000765","49,660","104,080"
"T20060000871","22,510","2,246"
"T20060000876","801","6,166"
"T20060000914","73,111","6,822"
"T20060000998","1,062","6,909"
"T20060001010","36,950","8,790"
"T20060001100","55,500","104,019"
"T20060001160","35,619","6,344"
"T20060001231","57,654","6,692"
"T20060001265","793","1,000"
"T20060001265","793","6,086"
"T20060001276","48,996","9,050"
"T20060001369","19","9,229"
"T20060001395","52,313","1,290"
"T20060001464","49,187","1,213"
"T20060001571","57,648","6,672"
"T20060001607","41,390","5,946"
"T20060001762","10,381","1,002"
"T20060001764","29,470","5,433"
"T20060001806","43,975","6,818"
"T20060001962","222,123","1,027"
"T20060002025","38,564","9,282"
"T20060002077","29,425","9,391"
"T20060002121","40,205","5,672"
"T20060002173","55,531","103,030"
"T20060002259","36,230","9,314"
"T20060002304","50,042","103,626"
"T20060002324","29,592","9,519"
"T20060002349","47,919","1,001"
"T20060002375","36,261","9,315"
"T20060002381","39,320","5,352"
"T20060002419","29,464","9,498"
"T20060002445","53,521","6,255"
"T20060002526","37,624","106,078"
"T20060002606","55,528","9,532"
"T20060002609","55,431","101,675"
"T20060002623","673","5,849"
"T20060002648","49,935","7,701"
"T20060002665","119","9,473"
"T20060002666","37,597","9,494"
"T20060002670","46,537","5,418"
"T20060002689","22","9,260"
"T20060002715","91,659","5,490"
"T20060002810","52,861","2,311"
"T20060002827","36,190","106,022"
"T20060002888","49,988","103,577"
"T20060003011","30,020","9,566"
"T20060003016","49,281","2,306"
"T20060003026","118,908","9,229"
"T20060003053","35,841","2,258"
"T20060003067","44,463","7,708"
"T20060003114","10,381","1,002"
"T20060003144","55,446","102,410"
"T20060003147","50,190","7,804"
"T20060003170","70,797","6,394"
"T20060003176","44,208","8,856"
"T20060003193","50,667","7,984"
"T20060003202","37,945","102,352"
"T20060003208","22,397","104,355"
"T20060003231","55,445","103,783"
"T20060003271","49,997","7,717"
"T20060003312","10,592","1,000"
"T20060003344","46,152","6,726"
"T20060003349","44,382","9,567"
"T20060003384","55,536","5,104"
"T20060003388","41,762","5,995"
"T20060003394","35,407","9,499"
"T20060003438","55,542","8,830"
"T20060003441","47,356","8,845"
"T20060003529","1,016","6,592"
"T20060003545","29,384","6,112"
"T20060003634","55,539","9,396"
"T20060003646","41","6,531"
"T20060003889","883","8,959"
"T20060003954","40,951","5,456"
"T20060004038","46,824","7,767"
"T20060004061","49,990","7,715"
"T20060004066","1,179","6,572"
"T20060004118","37,302","9,365"
"T20060004129","42,157","6,092"
"T20060004168","35,304","9,276"
"T20060004243","55,924","6,722"
"T20060004252","47,029","9,370"
"T20060004311","55,553","7,520"
"T20060004314","40,800","103,007"
"T20060004347","29,559","5,298"
"T20060004469","203,241","103,013"
"T20060004554","24,804","6,545"
"T20060004706","45,881","1,030"
"T20060004723","29,517","9,254"
"T20060004792","37,962","9,010"
"T20060004897","37,388","6,562"
"T20060004945","478","5,254"
"T20060005015","29,694","6,374"
"T20060005039","478","5,254"
"T20060005193","41,120","104,853"
"T20060005252","119","9,473"
"T20060005261","38,761","8,724"
"T20060005280","29,743","6,777"
"T20060005285","66,274","104,098"
"T20060005289","36,213","9,286"
"T20060005342","54,769","105,704"
"T20060005399","35,408","9,510"
"T20060005416","41,910","5,791"
"T20060005418","49,624","102,184"
"T20060005503","38,524","9,215"
"T20060005569","29,396","9,329"
"T20060005610","72,036","102,291"
"T20060005615","40,894","5,517"
"T20060005624","35,413","5,528"
"T20060005633","36,515","104,474"
"T20060005702","35,805","3,098"
"T20060005731","46,824","7,767"
"T20060005739","203,341","102,235"
"T20060005789","35,841","2,258"
"T20060005802","44,318","9,602"
"T20060005880","29,435","8,803"
"T20060005885","42,752","6,315"
"T20060005888","16,791","102,788"
"T20060005890","612","5,538"
"T20060005929","1,319","8,719"
"T20060005950","36,287","9,316"
"T20060005954","36,997","103,646"
"T20060005964","38,556","8,677"
"T20060005978","29,619","5,485"
"T20060005981","35,642","6,766"
"T20060005990","49,445","104,269"
"T20060006020","55,477","102,145"
"T20060006031","43,027","6,301"
"T20060006033","35,526","5,413"
"T20060006136","169","9,305"
"T20060006139","46,314","101,638"
"T20060006172","53,517","7,978"
"T20060006185","35,350","105,479"
"T20060006191","55,450","101,219"
"T20060006198","54,037","2,261"
"T20060006236","44,660","8,820"
"T20060006266","47,705","1,027"
"T20060006321","40,708","5,446"
"T20060006322","42,816","6,384"
"T20060006380","46,571","6,939"
"T20060006390","42,451","6,033"
"T20060006396","998","8,740"
"T20060006436","29,743","6,777"
"T20060006457","36,818","101,329"
"T20060006544","51,353","103,436"
"T20060006616","41,936","5,772"
"T20060006622","39,578","5,306"
"T20060006717","1,270","103,373"
"T20060006745","37,624","106,078"
"T20060006806","32,860","6,390"
"T20060006890","55,455","6,337"
"T20060006896","919","6,636"
"T20060006922","41,684","5,921"
"T20060006953","45,878","101,439"
"T20060007002","50,051","7,734"
"T20060007127","43,974","6,814"
"T20060007190","39,559","5,337"
"T20060007258","40,756","5,681"
"T20060007275","39,361","5,291"
"T20060007416","57,544","100,891"
"T20060007450","36,230","9,314"
"T20060007487","35,424","106,093"
"T20060007523","41,018","5,521"
"T20060007527","49,096","5,029"
"T20060007528","38,755","8,706"
"T20060007533","53,276","8,832"
"T20060007551","45,641","9,164"
"T20060007599","12,246","5,490"
"T20060007769","47,540","8,695"
"T20060007783","55,836","102,076"
"T20060007790","15,462","7,920"
"T20060007802","36,221","9,233"
"T20060007882","42,291","6,037"
"T20060007887","55,567","4,148"
"T20060007901","48,893","6,165"
"T20060007987","32,079","106,094"
"T20060008041","55,457","102,943"
"T20060008137","29,387","9,395"
"T20060008199","43,875","6,645"
"T20060008220","36,206","9,245"
"T20060008221","43,975","6,818"
"T20060008241","47,642","5,193"
"T20060008307","52,494","1,024"
"T20060008339","29,893","1,001"
"T20060008438","55,575","100,287"
"T20060008454","49,996","7,716"
"T20060008474","323","104,099"
"T20060008522","49,906","7,696"
"T20060008538","50,420","1,324"
"T20060008611","35,546","5,754"
"T20060008611","35,546","101,261"
"T20060008667","46,242","100,103"
"T20060008746","795","6,010"
"T20060008804","26,160","2,143"
"T20060008819","42,819","6,400"
"T20060008825","33,879","1,002"
"T20060008833","29,372","9,209"
"T20060008840","45,228","9,054"
"T20060008873","29,746","6,456"
"T20060008894","45,509","100,061"
"T20060008999","56,191","9,337"
"T20060009076","55,585","4,191"
"T20060009093","169","9,305"
"T20060009105","85","1,005"
"T20060009193","35,323","5,234"
"T20060009206","53,359","2,258"
"T20060009213","29,372","9,209"
"T20060009263","29,396","9,329"
"T20060009266","55,588","8,893"
"T20060009294","55,589","5,105"
"T20060009328","42,155","6,101"
"T20060009329","81","5,961"
"T20060009449","48,501","5,783"
"T20060009463","41,464","5,749"
"T20060009486","37,295","9,341"
"T20060009574","53,892","7,653"
"T20060009586","45,642","9,183"
"T20060009679","41,837","5,960"
"T20060009714","38,475","5,046"
"T20060009745","50,635","7,970"
"T20060009825","36,321","6,197"
"T20060009830","44,633","8,991"
"T20060009892","37,793","9,019"
"T20060009946","37,235","9,084"
"T20060009966","42,919","6,219"
"T20060009996","44,382","9,567"
"T20060010035","40,914","5,669"
"T20060010148","35,304","9,276"
"T20060010258","19,433","105,656"
"T20060010279","46,905","5,128"
"T20060010298","192,931","6,179"
"T20060010302","55,520","102,383"
"T20060010349","40,697","5,592"
"T20060010369","41,936","5,772"
"T20060010406","55,478","5,164"
"T20060010439","39,267","5,276"
"T20060010508","41,953","5,795"
"T20060010511","37,585","9,474"
"T20060010522","40,914","5,669"
"T20060010575","55,599","1,248"
"T20060010585","29,386","9,210"
"T20060010619","11,590","9,475"
"T20060010639","53,184","1,001"
"T20060010639","53,184","9,291"
"T20060010648","243","9,389"
"T20060010722","35,438","8,799"
"T20060010738","39,775","5,202"
"T20060010767","42,197","6,153"
"T20060010782","42,746","6,207"
"T20060010827","22","9,260"
"T20060010855","45,622","9,093"
"T20060010944","15,413","7,749"
"T20060011072","35,341","106,066"
"T20060011083","42,577","105,834"
"T20060011164","57,290","3,153"
"T20060011184","49,684","1,003"
"T20060011190","57,354","8,693"
"T20060011201","37,693","100,906"
"T20060011228","461","9,369"
"T20060011263","47,464","7,676"
"T20060011303","84","5,272"
"T20060011412","54,453","9,413"
"T20060011452","44,461","7,703"
"T20060011462","29,517","9,254"
"T20060011473","36,138","6,291"
"T20060011482","57,539","5,760"
"T20060011496","44,382","9,567"
"T20060011547","478","5,254"
"T20060011663","793","1,000"
"T20060011663","793","6,086"
"T20060011664","40,501","8,859"
"T20060011721","51,107","3,150"
"T20060011722","29,491","9,007"
"T20060011735","37,691","100,905"
"T20060011769","868","6,379"
"T20060011773","30,019","6,627"
"T20060011788","41,876","5,838"
"T20060011885","40,410","5,422"
"T20060011888","41,770","5,998"
"T20060011960","43,752","8,692"
"T20060011973","52,848","2,296"
"T20060012012","35,532","5,593"
"T20060012205","792","6,047"
"T20060012234","41,991","5,934"
"T20060012267","41,843","5,710"
"T20060012334","29,386","9,210"
"T20060012393","38,688","9,300"
"T20060012402","438","5,028"
"T20060012415","41,693","5,861"
"T20060012444","792","6,047"
"T20060012487","42,157","6,092"
"T20060012537","40,500","5,518"
"T20060012560","37,788","5,457"
"T20060012675","36,321","6,197"
"T20060012822","35,714","9,155"
"T20060012832","29,386","9,210"
"T20060012924","41,910","5,791"
"T20060012995","36,150","5,876"
"T20060013037","17,632","3,139"
"T20060013104","203,915","5,456"
"T20060013197","35,705","8,760"
"T20060013345","55,617","3,163"
"T20060013348","37,179","9,427"
"T20060013375","48,334","7,631"
"T20060013468","55,623","9,589"
"T20060013476","36,208","9,264"
"T20060013505","38,291","5,063"
"T20060013529","793","1,000"
"T20060013529","793","6,086"
"T20060013752","36,210","9,279"
"T20060013754","36,448","6,458"
